Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
1.563535	0.026690	0.039317	0.003492	50.000000	45.000000	0.060000	
1.564035	0.026690	0.039317	0.003492	50.000000	45.000000	0.060000	
1.564535	0.026690	0.039317	0.003492	50.000000	45.000000	0.060000	
1.565036	0.026690	0.039317	0.003492	50.000000	45.000000	0.060000	
1.565536	0.026653	0.039308	0.003452	50.000000	45.000000	0.060000	
1.566036	0.026653	0.039308	0.003452	50.000000	45.000000	0.060000	
1.566537	0.026616	0.039299	0.003413	50.000000	45.000000	0.060000	
1.567037	0.026616	0.039299	0.003413	50.000000	45.000000	0.060000	
1.567537	0.026616	0.039299	0.003413	50.000000	45.000000	0.060000	
1.568038	0.026616	0.039299	0.003413	50.000000	45.000000	0.060000	
1.568538	0.026616	0.039299	0.003413	50.000000	45.000000	0.060000	
1.569038	0.026543	0.039281	0.003335	50.000000	45.000000	0.060000	
1.569539	0.026543	0.039281	0.003335	50.000000	45.000000	0.060000	
1.570039	0.026507	0.039272	0.003296	50.000000	45.000000	0.060000	
1.570539	0.026507	0.039272	0.003296	50.000000	45.000000	0.060000	
1.571040	0.026507	0.039272	0.003296	50.000000	45.000000	0.060000	
1.571540	0.026507	0.039272	0.003296	50.000000	45.000000	0.060000	
1.572041	0.026507	0.039272	0.003296	50.000000	45.000000	0.060000	
1.572541	0.026470	0.039263	0.003257	50.000000	45.000000	0.060000	
1.573041	0.026470	0.039263	0.003257	50.000000	45.000000	0.060000	
1.573542	0.026470	0.039263	0.003257	50.000000	45.000000	0.060000	
1.574042	0.026433	0.039254	0.003218	50.000000	45.000000	0.060000	
1.574542	0.026433	0.039254	0.003218	50.000000	45.000000	0.060000	
1.575043	0.026397	0.039245	0.003178	50.000000	45.000000	0.060000	
1.575543	0.026397	0.039245	0.003178	50.000000	45.000000	0.060000	
1.576043	0.026360	0.039236	0.003139	50.000000	45.000000	0.060000	
1.576544	0.026360	0.039236	0.003139	50.000000	45.000000	0.060000	
1.577044	0.026360	0.039236	0.003139	50.000000	45.000000	0.060000	
1.577544	0.026324	0.039227	0.003100	50.000000	45.000000	0.060000	
1.578045	0.026324	0.039227	0.003100	50.000000	45.000000	0.060000	
1.578545	0.026287	0.039218	0.003061	50.000000	45.000000	0.060000	
1.579046	0.026287	0.039218	0.003061	50.000000	45.000000	0.060000	
1.579546	0.026287	0.039218	0.003061	50.000000	45.000000	0.060000	
1.580046	0.026251	0.039209	0.003022	50.000000	45.000000	0.060000	
1.580547	0.026251	0.039209	0.003022	50.000000	45.000000	0.060000	
1.581047	0.026214	0.039271	0.002966	50.000000	45.000000	0.060000	
1.581547	0.026214	0.039271	0.002966	50.000000	45.000000	0.060000	
1.582048	0.026178	0.039262	0.002927	50.000000	45.000000	0.060000	
1.582548	0.026178	0.039262	0.002927	50.000000	45.000000	0.060000	
1.583048	0.026178	0.039262	0.002927	50.000000	45.000000	0.060000	
1.583549	0.026141	0.039253	0.002888	50.000000	45.000000	0.060000	
1.584049	0.026141	0.039253	0.002888	50.000000	45.000000	0.060000	
1.584549	0.026105	0.039244	0.002848	50.000000	45.000000	0.060000	
1.585050	0.026105	0.039244	0.002848	50.000000	45.000000	0.060000	
1.585550	0.026068	0.039235	0.002809	50.000000	45.000000	0.060000	
1.586050	0.026068	0.039235	0.002809	50.000000	45.000000	0.060000	
1.586551	0.026068	0.039235	0.002809	50.000000	45.000000	0.060000	
1.587051	0.026032	0.039226	0.002770	50.000000	45.000000	0.060000	
1.587552	0.026032	0.039226	0.002770	50.000000	45.000000	0.060000	
1.588052	0.025959	0.039208	0.002691	50.000000	45.000000	0.060000	
1.588552	0.025959	0.039208	0.002691	50.000000	45.000000	0.060000	
1.589053	0.025959	0.039208	0.002691	50.000000	45.000000	0.060000	
1.589553	0.025959	0.039208	0.002691	50.000000	45.000000	0.060000	
1.590053	0.025959	0.039208	0.002691	50.000000	45.000000	0.060000	
1.590554	0.025923	0.039199	0.002652	50.000000	45.000000	0.060000	
1.591054	0.025923	0.039199	0.002652	50.000000	45.000000	0.060000	
1.591554	0.025923	0.039199	0.002652	50.000000	45.000000	0.060000	
